OrderDate,Region,Rep,Item,Units,Unit Price
07-04-14,East,Richard,Pen Set,62,4.99
07-12-14,East,Nick,Binder,29,1.99
07-21-14,Central,Morgan,Pen Set,55,12.49
07-29-14,East,Susan,Binder,81,19.99
08-07-14,Central,Matthew,Pen Set,42,23.95
08-15-14,East,Richard,Pencil,35,4.99
08-24-14,West,James,Desk,3,275
09-01-14,Central,Smith,Desk,2,125
09-10-14,Central,Bill,Pencil,7,1.29
09-18-14,East,Richard,Pen Set,16,15.99
09-27-14,West,James,Pen,76,1.99
10-05-14,Central,Morgan,Binder,28,8.99
10-14-14,West,Thomas,Binder,57,19.99
10-22-14,East,Richard,Pen,64,8.99
10-31-14,Central,Rachel,Pencil,14,1.29
11-08-14,East,Susan,Pen,15,19.99
11-17-14,Central,Alex,Binder,11,4.99
11-25-14,Central,Matthew,Pen Set,96,4.99
12-04-14,Central,Alex,Binder,94,19.99
12-12-14,Central,Smith,Pencil,67,1.29
12-21-14,Central,Rachel,Binder,28,4.99
12-29-14,East,Susan,Pen Set,74,15.99
01-06-15,East,Richard,Pencil,95,1.99
01-15-15,Central,Bill,Binder,46,8.99
01-23-15,Central,Matthew,Binder,50,19.99
02-01-15,Central,Smith,Binder,87,15
02-09-15,Central,Alex,Pencil,36,4.99
02-18-15,East,Richard,Binder,4,4.99
02-26-15,Central,Bill,Pen,27,19.99
03-07-15,West,James,Binder,7,19.99
03-15-15,West,James,Pencil,56,2.99
03-24-15,Central,Alex,Pen Set,50,4.99
04-01-15,East,Richard,Binder,60,4.99
04-10-15,Central,Rachel,Pencil,66,1.99
04-18-15,Central,Rachel,Pencil,75,1.99
04-27-15,East,Nick,Pen,96,4.99
05-05-15,Central,Alex,Pencil,90,4.99
05-14-15,Central,Bill,Pencil,53,1.29
05-22-15,West,Thomas,Pencil,32,1.99
05-31-15,Central,Bill,Binder,80,8.99
06-08-15,East,Richard,Binder,60,8.99
06-17-15,Central,Matthew,Desk,5,125
06-25-15,Central,Morgan,Pencil,90,4.99
